RFID,Site,Notes
0700EDC37C,H,"feather taken 2019
0700EDC450,H,Nestling from BOX 10 H 2019;feather taken 2019
0700EDFEC7,H,feather taken 2019
0700ED8D1B,H,feather taken 2019
0700ED9EB0,H,feather taken 2019
0110179B6B,H,feather taken 2019
0700ED8B4F,H,feather taken 2019
0300023F00,L,DIED IN NET FALL 2015 adult; molting primaries; secondaries
030003BC76,L,adult m; molting secondaries
0700EE04B3,L,molting outer tail; secondaries; OLD PIT TAG: 0700EE04B3
0700EE182E,L,KILLED LATE 2015 AT LEAR3 VVP molting secondaries
0700EDF91A,L,formerly S; banded 6/23/2013 as chick; from boxes near F7L
0700EE28DD,L,molting secondaries
0700EE0796,L,originally banded F5L 11/30/2013 as adult;molting primaries
0300035196,L,molting primaries; secondaries
030002D01B,L,recaptured 12/26/14 at F8L
0700EDF951,L,adult. Has growth above PT; PT moves freely 9/18/15.
0700EDFC08,L,molting primaries; secondaries
0700EE0832,L,recaptured 11/19//14 at F5L
030001F5E3,L,formerly S; banded as chick 2014 - from box 33; WAS B PT;SY BUT THEN CHANGED TO SW IN FALL 2015;pair with grey/blue pt at time of first capture
0700EE3185,L,pair with blue pt/SY at time of first capture
0700EE0FCF,L,pair w blue;black pt at time of first capture
0700EE0791,L,S banded as chick 2014 box 13B L;pair w lg;black pt at time of first capture
0700EE2338,L,originally banded 2013 F4L captured as adult
0700EDFC9F,L,pair w black pt;white at time of first capture
0700ED9C83,L,pair w lb;black pt
0700EDED2A,L,pair w green;black pt
0700EDBBFC,L,pair w black pt;LG/S at time of first capture
 030001BAA3,L,DIED 3/1/2017. PIT tag changed 1/27/2017 OLD ID 030001BAA3; stopped reading
0300038570,L,formerly S; banded as chick from box 13 L 2014
03000238E7,L,didn't fly for several minutes
0300027CC3,L,3rd capture. Was W;DG first captured Oct 2012. Then was W; SG second capture Dec 2013
030001AA57,L,recaptured 12/26/14 at F8L
03000393B8,L,didn't fly for app 30 min
030002A904,L,didn't fly right away
0700EE3087,L,formerly S; banded as chick 2013 if4.right L
0300035E65,L,formerly S; banded as chick 2013 if6.right
030001A1C9,L,originally banded F4L 2013;DIED
0300028599,L,lost tail
0300019E94,L,formerly S; banded as chick box 7 L 2014
0700EE26D8,L,formerly S; banded as chick 13B L; 2014;formerly 0700EE26D8; replaced 8/19/15
0700EE16FA,L,S banded as chick 2014 Box 54 L;Detected LOW and HIGH arrays F2014/W15
030002AF09,L,originally banded F4L 2013
030002CF5E,L,lost tail at capture
0700EE2D14,L,adult
0700EE243D,L,S banded as chick if7.left 2013
0300035D05,L,Broken PIT; replaced 19 Oct 2018 for old records see 0300035D05; feathers and pics taken 2018
030002FE1D,L,S banded as chick box 7 L 2014
0300039CDC,L,originally banded F4L 2013
0300023AA1,L,originally banded F1L 2013 
0300020B2F,L,S banded as chick 2014 box if7 L
0700EDFF49,L,originally banded F5L 2013
0700EDBBDA,L,S banded as chick 2014 box 54 L
0700EE2C9F,L,adult at TOIC
0700EE052C,L,paired with BLUE PT; S/Y
0700EDAF92,L,juve at TOIC
0700EDADAF,L,adult at TOIC
0700EDA9B0,L,juve at TOIC
0700EE164C,L,fledged from box 26 in 2015
0700EE4393,L,fledged from box 3 in 2015;missing toenail; lots of white on head
0700EDC967,L,S banded as chick if5.left 2013;adult at TOIC
0700EDB700,L,adult at TOIC
0700EE2E69,L,juve at TOIC; caught w W/W; GREY PT
0700EE0CAF,L,juve at TOIC
0700EE0CE2,L,juve at TOIC
0700EE403D,L,juve at TOIC
0700EDB9A3,L,juve at TOIC
0700EDB8E2,L,adult at TOIC; missing blood sample; collect a 2nd if possible
0700EE04E2,L,fledged from box 3 In 2015;juve at TOIC
0700EDF56D,L,juve at TOIC
0700EDE0DC,L,juve at TOIC
0700ED9150,L,juve at TOIC
0700EDF371,L,juve at TOIC
0700EDBE94,L,adult at TOIC; caught w Y/Y; GREY PT
0700EDF9A8,L,juve at TOIC
0700EE0CD0,L,first was W;G; then S banded 2013 F5L;adult at TOIC
0700EDEA14,L,adult at TOIC
0700EE3D69,L,adult at TOIC
0700ED86F9,L,adult at TOIC
0700EDA64F,L,juve at TOIC
0700EE122D,L,juve at TOIC
0700EDA810,L,adult at TOIC
0700EDEDCD,L,caught with grey pt; lg
0700EDD440,L,adult at TOIC
0700EDC62E,L,juve at TOIC
0700EDECF8,L,adult at TOIC
0700EDF2CA,L,adult at TOIC
0700EE4473,L,adult at TOIC
0700EDAF28,L,juve at TOIC
0700EDA1F5,L,adult at TOIC
0700ED935E,L,adult at TOIC
0700EDA1AE,L,originally banded F3L 2013;adult at TOIC
0700EDB448,L,juve at TOIC
0700EE35C0,L,adult at TOIC
0700EDA8DD,L,adult at TOIC
0700EDC72C,L,adult at TOIC
0700EDE9FE,L,Originally S banded F5L 2013;adult at TOIC
0700EDFC73,L,S banded as chick 2015 27B;juve at TOIC
0700ED97FC,L,originally banded F1L 2013;adult at TOIC
0700EE1D35,L,adult at TOIC
0700EDB10A,L,juve at TOIC
0700ED8B4D,L,juve at TOIC
0700EDA70B,L,adult at TOIC
0700EDF46B,L,adult at TOIC
0700EDC6A6,L,adult at TOIC
0700EDA6A5,L,juve at TOIC
0700EE01DB,L,juve at TOIC
0700ED8C62,L,juve at TOIC; caught w G/B; blue pt
0700EDC0CD,L,juve at TOIC
0700EDCC4E,L,juve at TOIC
0700EE0C3E,L,adult at TOIC
0700EE2529,L,juve at TOIC
0700EDCEB2,L,juve at TOIC; caught w G/Y; blue pt
0700EDBD29,L,juve at TOIC; extremely tangled in net
0700EDBAD4,L,adult at TOIC
0700EDF4B5,L,juve at TOIC
0700EDC4F2,L,Juve at TOIC; caught with G/W;GREY PT (0700EE43B8) 9/18/15.
0700EE4214,L,adult at TOIC
0700EE3D89,L,adult at TOIC
0700EE43B8,L,Juve at TOIC; caught with G/Black;Grey PT (0700EDC4F2) 9/18/15.
0700EDFEE7,L,Adult at TOIC
0110179868,L,originally banded F1L 2013
0700EE28B9,L,adult at TOIC
0700EDA554,L,adult at TOIC
0700EE3A95,L,juvie at TOIC
0700EE0B52,L,adult at TOIC
0700EDFCB1,L,Juvie at TOIC
0700EDE972,L,"small blood sample
0700EE05D4,L,didn't fly right away
0700EDD808,L,didn't fly right away
0700EDAC08,L,S banded as chick 2014 IF9 L
0700EDEC59,L,Recap 2/12/16 at LEAR8
0700EE05F8,L, Very strange; large ball-like growths (3) in cloacleal region at TOIC.
011017A80B,L,S banded as chick if2.right 2013
0700EE38ED,L,S banded as chick if2.right 2013
0700ED9C97,L,Recap 2/12/16 at LEAR8
011017A287,L,S banded as chick box 1 L 2014
