Date,Site,Feeder,RFID,ColorBands,SilverBands,Sex,WingLength,Mass,BID,Maturity
7/11/2017,H,BOX 29-3 H,0110179BBC,R/Y;WhitePT,,M,74,,H629,
7/13/2017,H,BOX 29A H,0110179D38,R/Blue;WhitePT,,M,68,,H632,
7/13/2017,H,BOX 5 H,011017987F,R/LB;WhitePT,,F,66,,H633; H779,
8/13/2017,H,F4H,0700EDC775,LB/S2820-13411;PurplePT,2820-13411,,70,,,juv
8/13/2017,H,F3H,01101797F0,R/G;WhitePT,,M,69,,H635,adult
8/13/2017,H,F3H,01101796B3,Blue/S2820-13395;PurplePT,2820-13395,F,65,,H636,juv
8/13/2017,H,F3H,01101799DA,R/Black;WhitePT,,F,68,,H637; H813,juv
8/13/2017,H,F3H,0700EDB83F,Grey/S2820-13369;PurplePT,2820-13369,,69,,H639,juv
8/13/2017,H,F3H,0700EE003D,Black/S2820-13393;PurplePT,2820-13393,F,67,,H640,juv
8/13/2017,H,F4H,01101796AE,O/S2820-13372;PurplePT,2820-13372,F,68,,H641,juv
8/15/2017,H,F2H,01101797F4,S2820-13367/Y;GreenPT,2820-13367,F,67,,H642,juv
8/15/2017,H,F2H,0700EE43A6,S2820-13366/O;GreenPT,2820-13366,,71,,H645,juv
8/18/2017,H,F3H,0110179FED,S2820-13414/Green;GreenPT,2820-13414,F,64,10.86,H647,juv
8/18/2017,H,F3H,0110179588,S2820-13413/LB;GreenPT,2820-13413,F,66,9.76,H648,juv
8/18/2017,H,F3H,011017A23B,R/Grey;WhitePT,,,72,12.46,H649,
8/18/2017,H,F4H,0700EDCE9B,S2820-13414/Grey;GreenPT,2820-13414,F,67,10.11,H651,juv
8/18/2017,H,F4H,0110179E5C,WhitePT;O/R,,F,66.5,11.44,H652,
8/28/2017,H,F2H,0700EDAEEF,S2820-13418/Blue;GreenPT,2820-13418,F,66,11.08,H653,juv
8/28/2017,H,F2H,011017A3F5,WhitePT;Y/R,,,69.5,12.21,H654,juv
8/28/2017,H,F2H,0110179A53,WhitePT;Blue/R,,F,66.5,10.69,H655,juv
8/28/2017,H,F1H,0110179CC6,WhitePT;LB/R,,M,71,12.22,H656,juv
8/28/2017,H,F2H,011017A794,WhitePT;G/R,,,70,11.74,H657,juv
8/28/2017,H,F2H,011017A3F0,WhitePT;Black/R,,,70.5,11.65,H659,
8/28/2017,H,F3H,011017A092,S2820-13433/Black;GreenPT,2820-13433,F,67,10.26,H660,juv
8/28/2017,H,F3H,011017A832,WhitePT;Grey/R,,,69,12.21,H661,juv
8/28/2017,H,F3H,01101799F0,O/R;WhitePT,,,71,11.82,H662,juv
8/28/2017,H,F4H,0110179CCD,Y/R;WhitePT,,M,73,11.19,H663,juv
8/28/2017,H,F4H,011017A74B,White/S2820-13432;GreenPT,2820-13432,,68,10.2,H664,juv
8/28/2017,H,F4H,011017A83A,Blue/R;WhitePT,,F,69,10.33,H665,juv
8/28/2017,H,F4H,011017A7DE,LB/R;WhitePT,,F,65,11.05,H666,juv
8/28/2017,H,F4H,011017A4B4,G/R;WhitePT,,M,74,10.75,H667,juv
9/1/2017,H,F5H,0110179DD5,Black/R;WhitePT,,F,67.5,11.26,H668,juv
9/1/2017,H,F3H,0110179D52,Grey/R;WhitePT,,,72,11.16,H669,juv
9/1/2017,H,F3H,0700ED870D,GreenPT;R,,M,68,11.1,H670,juv
9/8/2017,H,F3H,0700EDF471,GreenPT;R/R,,,70,11.35,H672,juv
9/8/2017,H,F1H,011017A53C,GreenPT;R/O,,F,65.5,9.84,H674,juv
9/8/2017,H,F1H,0700EE1410,GreenPT;R/Y,,F,67.5,10.59,H675,juv
9/8/2017,H,F4H,011017975A,GreenPT;R/Blue,,F,67,10.79,H676,adult
9/8/2017,H,F2H,0700EE0029,GreenPT;R/LB,,,70.5,11.4,H677,juv
9/8/2017,H,F4H,011017A131,GreenPT;R/G,,,68,10.72,H679,juv
9/8/2017,H,F4H,011017987D,Y/S2740-25868;GreenPT,2740-25868,,71,12.45,H680,adult
9/8/2017,H,F2H,0700EDAF52,GreenPT;R/Black,,,68,11.36,H681,juv
9/8/2017,H,F4H,011017A66F,GreenPT;R/Grey,,,71,11.68,H682,adult
9/8/2017,H,F3H,0700EDE5C9,R;GreenPT,,F,67,10.67,H684,
9/8/2017,H,F1H,0700EDA46A,R/R;GreenPT,,,70,11.16,H686,adult
